,current_year_2,current_year_3,current_year_4,social_time_Multiple Weekly,social_time_Once/Twice Weekly,social_time_Rarely,excercise_time_0 - 1 day,excercise_time_2 - 3 days,excercise_time_4+ days,nationality_status_1st_Gen,nationality_status_2nd+_Gen,nationality_status_Internationl,parent1_education_College,parent1_education_College (Diploma),parent1_education_High School,parent1_education_Post-Graduate,parent1_education_Post-Graduate (Masters +),parent1_education_Undergraduate,parent1_education_Undergraduate (Bachelors),parent2_education_College,parent2_education_College (Diploma),parent2_education_High School,parent2_education_Post-Graduate,parent2_education_Post-Graduate (Masters +),parent2_education_Undergraduate,parent2_education_Undergraduate (Bachelors),class_attendance_Almost all,class_attendance_Almost none,class_attendance_Around half,screen_time_A significant amount,screen_time_Almost Always,screen_time_Almost never,screen_time_Regularly,sleep_time_Enough,sleep_time_More than Enough,sleep_time_Not Enough,school_work_time_I usually keep up,school_work_time_Only before a deliverable,"school_work_time_Very regularly, I'm always on top of my work",coop_time_A lot less than school work,coop_time_Almost none,coop_time_Same or More,"coop_time_Significant,but less than school",hs_average_80-84%,hs_average_85-89%,hs_average_90-94%,hs_average_95-100%,hs_average_<80%,academic_priority_No,academic_priority_Yes
0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
8,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
14,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
18,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
20,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
21,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
